# Time-averaged data for fix avborn
# TimeStep c_born[1] c_born[2] c_born[3] c_born[4] c_born[5] c_born[6] c_born[7] c_born[8] c_born[9] c_born[10] c_born[11] c_born[12] c_born[13] c_born[14] c_born[15] c_born[16] c_born[17] c_born[18] c_born[19] c_born[20] c_born[21]
5200 290100 300578 139834 495566 456378 208599 -66662.2 82336.1 90026.3 2927.38 5511.19 85751.2 -85690.2 -3783.71 -9282.12 1390.71 292.107 -1075.88 -20367.7 -4222.26 101839
5300 290364 300636 139814 494483 456851 208387 -66785.3 82326.8 89872.9 2689.5 5178.84 85728.3 -85348.8 -3817.54 -8898.17 1288.66 182.517 -1068.25 -20227.5 -4959.5 102080
5400 290941 300839 139917 493120 456914 207885 -66969.7 82414.8 89927.9 3136.5 5074.02 85777.9 -85492.5 -4274.44 -8910.11 1040.34 5.03508 -1060.46 -20084.4 -5477.93 101664
5500 291300 301265 140007 493087 456791 207546 -67301.9 82349.3 90439.7 3742.77 5096.92 85886.2 -86635.8 -4839.56 -8920.69 765.685 -258.443 -1077.4 -19576.3 -5965.66 101026
5600 292174 301672 140087 492466 457705 207256 -67889.5 82467.3 90915.3 4646.09 5199.71 85813.5 -87564.1 -5581.93 -8963.64 472.453 -282.182 -1053.98 -19017.9 -6326.7 100184
5700 292361 301831 140130 492383 457551 206782 -68013.5 82541.1 91399.4 5427.02 5650.53 85811.4 -88760.5 -5940.49 -9468.93 55.3859 -93.4594 -1027.7 -19331.8 -5272.3 98922.9
5800 292655 302188 140173 493076 457850 206825 -68320.7 82451.7 91899 4740.68 5504.8 85910.2 -89516.6 -5191.75 -9286.12 -349.071 -92.0577 -1076.38 -19012.8 -4184.51 98243.6
5900 293136 302692 140201 493663 457897 206675 -68765.2 82383.7 92531.9 4510.18 5596.99 86011.7 -90337.8 -4627.62 -9432.67 -561.449 141.375 -1089.72 -19015 -2805.86 97597.2
6000 293180 302105 139800 492766 458058 205638 -69410.1 82403.5 92507.8 3328.57 4897.81 85687.7 -92056.2 -4487.8 -9558.52 -1302.99 -136.508 -1050.19 -18689.9 -3291.81 96655.2
6100 293455 302812 139849 492027 457439 204908 -69787.6 82233.5 92850.1 2280.3 4428.24 85912.9 -93211.3 -3811.3 -8997.32 -1707.36 -306.254 -1043.71 -18326 -3709.37 96042.7
6200 293426 302865 139883 491502 457109 204417 -69829.3 82198.7 93019.3 871.485 3920.46 85877.7 -93864.8 -2827.03 -8469.44 -1904.44 -551.3 -1096.02 -17631.7 -3934.73 95320.1
6300 293269 302991 139529 490744 456487 204147 -69818.4 81909.9 93055.8 -348.108 3550.73 85825.1 -94202.4 -2450.07 -7807.21 -1883.8 -1043.54 -1078.49 -16711.3 -4242.99 94956.8
6400 293740 303281 139646 489666 456183 203719 -70039.5 81987.2 93131.5 -932.858 3120.12 85878.4 -94633.7 -2213.3 -7221.58 -1918.29 -1188.61 -993.297 -15837.9 -4601.82 94286.4
6500 294226 303610 139726 488888 456349 203229 -70448.6 81961.7 93379.3 -1974.21 2808.68 85898.2 -95313.4 -1474.8 -6745.76 -2162.43 -1255.52 -1001.62 -15288.3 -4695.64 93687.2
6600 294360 303629 139754 488977 456645 202894 -71329.8 81519.1 93292.5 -2115.33 3019.66 85561.1 -96191.1 -646.24 -6166.27 -2407.89 -1238.56 -1071.31 -14829 -3922.01 93293.9
6700 294483 303857 139795 489053 456807 202969 -71406.2 81554.6 93243.3 -2561.8 2973.25 85611.7 -96110.9 -63.5289 -6144.2 -2349.6 -1210.44 -1046.41 -14599.6 -3242.71 93396.3
6800 294592 304027 139876 489175 457367 203188 -71451.6 81644.6 93128.8 -2505.45 3244.27 85594.6 -95572.5 149.322 -6498.87 -2154.4 -1063.63 -1077.76 -14804.8 -2341.98 93801.9
6900 295162 304194 139885 489306 458238 203501 -71744 81758.9 93094.9 -2363.87 3674.34 85505.4 -95455.3 47.9879 -7089.5 -2077.03 -1040.07 -1122.33 -15376.5 -2326.67 94078
7000 295465 304454 139918 489435 458376 203593 -71939.1 81704.2 93286.5 -2023.96 3822.85 85596.7 -95744.2 -61.5228 -7077.3 -2145.69 -1019.9 -1151.8 -15315.2 -2208.82 93834.4
7100 296203 304868 139984 490082 459160 203492 -72421.7 81666.9 93845.8 -2094.05 3911.22 85695.4 -96420.1 106.582 -7041.51 -2351.21 -940.4 -1159.6 -15255.6 -1774.86 93650.4
7200 296844 305033 139992 490059 459624 203257 -72798.5 81611.2 94350.7 -2520.26 3865.02 85728.6 -97072.7 546.196 -7129.98 -2663.5 -971.241 -1300.35 -15843.7 -1611.43 93334.5
7300 296843 304831 139706 489674 458867 202922 -72789.2 81587.6 94808.7 -2567.49 3944.24 85534 -98170.3 668.357 -7225.08 -3295.42 -897.755 -1338.6 -16092.3 -1328.33 92526.4
7400 296601 304654 139735 490184 458297 202469 -73124.7 81572.1 95289.6 -2297.47 4312.38 85588.9 -99059.1 509.971 -7147.09 -3538.67 -934.186 -1331.03 -16542.8 -1187.45 91495.6
7500 297299 305553 139773 491581 459139 202333 -73881.7 81540.7 96366.5 -2245.72 4165.53 85662.6 -100857 293.877 -6917.46 -3923.93 -1028.32 -1312.09 -15901.8 -1470.78 90816.1
7600 297908 306137 139782 492371 459852 202303 -74478.3 81489.1 96789.3 -2278.79 4105.67 85687.2 -101552 234.019 -6949.14 -4042.55 -1168.23 -1313.87 -15826.7 -1644.05 90692.2
7700 297630 306518 139886 493801 460337 202663 -74723.5 81493.6 97191.7 -2482.93 4025.8 85767.3 -102183 323.678 -6933.32 -4083.32 -1443.63 -1363.71 -16246.1 -2299.97 90708.1
7800 297618 306709 139923 494645 460335 202975 -74690 81497.9 97187 -2467.9 4134.62 85826.3 -102350 364.452 -7219.04 -4109.26 -1501.88 -1404.37 -16991.9 -2806.2 90445
7900 297646 306816 139938 494905 460526 203013 -74717.9 81601.4 97396.9 -2501 4031.19 85748.1 -102690 119.67 -7158.58 -4089.08 -1605.79 -1462.83 -17248.1 -3591.53 90248.6
8000 297469 306659 140015 495395 460177 203095 -74481.3 81611.4 97264.7 -2559.78 3836.94 85798.9 -102658 -139.277 -6840.3 -4042.7 -1841.02 -1500.21 -17259.4 -4756.72 90137.4
8100 297546 306632 140083 495184 460001 202799 -74465.9 81571.9 97133.5 -3042.82 3712.57 85932.8 -102684 267.695 -6652.91 -4168.92 -1975.13 -1510.38 -17199.1 -5116.71 89960.8
8200 297500 306561 140098 495148 460089 202792 -74358.1 81596.7 97061.9 -3125.35 3632.31 85923.6 -102396 366.38 -6545.5 -4106.88 -1988.55 -1535.4 -17149.8 -5325.95 90124.5
8300 297468 306488 140164 494661 459952 202666 -74255.8 81678.4 96783.5 -3645.99 3688.75 85896.7 -101976 1052.52 -6677.43 -4070.44 -1986.03 -1592.1 -17393.2 -4890.78 90491.2
8400 297744 306466 140198 493704 459584 202470 -74321.5 81837.1 96600.1 -3572.78 3698.61 85774.1 -101913 1014.56 -6498.72 -4048.49 -2022.25 -1540.67 -16766.4 -4954.65 90359.4
8500 298225 306814 140244 493334 460133 202390 -74597 81944.1 96551.7 -3568.32 3774.35 85730.7 -102018 977.254 -6540.37 -4085.95 -2116.9 -1551.28 -16754.5 -5487.57 90253.4
8600 298189 306863 140261 493272 459997 202404 -74551.8 81897.4 96467.4 -3470.27 3771.64 85780.5 -101885 817.879 -6763.22 -4202.45 -2086.55 -1623.07 -16984.6 -5237.45 90262.5
8700 297968 306686 140264 492969 459693 202444 -74318.8 81872.3 96362.7 -3150.29 4101.23 85820.2 -101564 748.581 -7138.99 -4123.25 -1935.84 -1630.98 -17123.8 -4273.05 90382.4
8800 297480 306576 140408 492886 459678 202466 -74089.2 82028.2 96037.2 -2567.17 4376.12 85823.4 -100999 755.799 -7225.24 -3986.92 -1680.42 -1540.91 -16728.7 -3156.92 90577.4
8900 297168 306383 140413 492958 459171 202570 -73775.1 82034.9 95853.5 -2849.66 4394.57 85827.1 -100677 926.175 -7238.28 -3942.69 -1644.4 -1506.47 -16418.3 -2630.19 90671.6
9000 297167 306231 140421 493142 459545 202745 -73748 82046.7 95568.6 -2952.53 4413.7 85770.3 -100068 1002.79 -7310.55 -3769.39 -1687.73 -1498.3 -16599.5 -2594.69 91156.4
9100 297314 306215 140489 492675 460077 202686 -73761.1 82109.2 95340.4 -2871.24 4260.2 85775.5 -99699.8 817.671 -7346.57 -3746.93 -1772.78 -1566.79 -16741.6 -2717.41 91361
9200 297524 306493 140558 492640 460517 202614 -73889.3 82116.3 95481.8 -2850.06 4348.11 85875.9 -99920.2 962.955 -7563.01 -3894.79 -1766.49 -1636.17 -16908.2 -2270.51 91469.1
9300 298129 306598 140581 492074 461161 202201 -74192.2 82141.8 95621 -2890.36 4443.65 85873.7 -99984.3 1191.15 -7561.97 -3962.57 -1705.31 -1595.48 -16673 -1688.24 91387.8
9400 298346 306729 140573 491820 461619 202003 -74363.6 82145.3 95699.2 -3335.14 4453.23 85855.1 -100185 1683.52 -7534.17 -4121.31 -1667.72 -1615.85 -16722.9 -1207.44 91323.4
9500 298483 306578 140590 491296 461995 201961 -74332.5 82205.7 95345.6 -3789.02 4489.69 85814.6 -99670.4 2148.29 -7599.22 -3987.9 -1611.41 -1620.53 -16885.2 -658.882 91595.5
9600 298332 306342 140639 490486 462009 201959 -74088.7 82299.7 94906 -3837.29 4530.53 85758.3 -99015.6 2334.82 -7534.82 -3818.96 -1450.97 -1504.15 -16365.8 57.0075 92035
9700 297874 306122 140698 490539 461133 201936 -73770 82277.3 94757 -3702.13 4531.59 85793.6 -98683.3 2261.37 -7637.31 -3642.02 -1407.44 -1556.1 -16512.8 17.7606 92081.5
9800 298039 306045 140766 490239 461361 201964 -73764.8 82400 94636.2 -3750.14 4559.43 85726.2 -98360.8 2292.22 -7665.04 -3504.52 -1462.13 -1556.41 -16505 -197.989 92499.4
9900 297882 305776 140858 490241 461560 202341 -73474 82512.4 94444.2 -3931.41 4443.23 85681.7 -97932.8 2242.44 -7607.28 -3299.8 -1524.38 -1599.69 -16885.4 -932.488 93132.3
10000 297655 305598 140870 490318 460846 202357 -73212.1 82519.5 94458.5 -4120.53 4416.79 85691.3 -97843.2 2302.84 -7686.35 -3181.3 -1521.14 -1578.4 -16916.4 -902.493 93044.4
10100 297359 305552 140809 490267 460970 202286 -73536 82216.7 94065.3 -4316.79 4161.18 85610.2 -97699.3 2284.39 -7773.45 -3246.01 -1511.92 -1580.15 -16513.6 -272.209 93065.6
10200 297406 305554 140826 490408 461006 202204 -73547.3 82225.4 94060.6 -4273.21 4127.27 85618.3 -97723.6 2351.08 -7652.72 -3200.07 -1399.41 -1537.26 -15983.6 185.732 93064.5
10300 297467 305794 140880 491079 460805 202216 -73648.3 82120.1 94278.5 -4099.65 4147.21 85759.3 -98030.3 2241.7 -7482.58 -3398.69 -1370.71 -1441.8 -15375.6 331.301 92862.4
10400 297205 305516 140551 490634 460246 202185 -73407.5 82146.5 94157.2 -4350.57 4119.45 85635.7 -97898.9 2409.4 -7535.28 -3627.58 -1455.44 -1488.97 -15697 191.209 92909.5
10500 297004 305487 140559 490697 459834 202347 -73256.7 82164.1 94070.4 -4526.53 4136.43 85595.7 -97893.5 2658.55 -7577.8 -3586.1 -1475.95 -1471.18 -15796.6 240.789 92803.1
10600 297251 305363 140644 490186 460125 202308 -73236.7 82286.8 93918.4 -4981.26 4039.14 85564.6 -97589.4 3049.1 -7500.42 -3514.48 -1595.48 -1465.15 -15662.8 445.06 92975.9
10700 297146 305273 140702 490068 459624 202353 -73044 82336.4 93803 -5113.04 3943.23 85579.2 -97609.4 3078.45 -7414.64 -3548.25 -1633.43 -1443.03 -15590.5 50.1153 92729.8
10800 296895 305222 140685 489814 458864 202212 -72884.8 82298.3 93808.8 -5451.2 3662.95 85587.7 -97737.8 3195.42 -7086.38 -3596.29 -1793.56 -1453.2 -15083.3 -313.995 92442.8
10900 296565 305078 140712 489859 457971 202150 -72596.9 82294.2 93942.9 -5436.74 3457.76 85619.1 -97873.6 2956.68 -6877.83 -3584.25 -1915.71 -1460.75 -14700.3 -749.702 92293.4
11000 296252 305031 140746 489844 457365 202178 -72461.7 82321.5 93910.5 -5470.52 3599.1 85663.9 -97815.9 2991.7 -7051.77 -3615.99 -1897.54 -1479.37 -15033.6 -514.901 92172
11100 296591 305164 140783 489833 457384 202088 -72637.5 82371.7 94192.9 -5177.19 3785.64 85659.5 -98145.9 2845.74 -7233.57 -3694.39 -1746.67 -1398.58 -15127.2 -139.359 92088.7
