# Time-averaged data for fix vir
# TimeStep c_virial[1] c_virial[2] c_virial[3] c_virial[4] c_virial[5] c_virial[6]
386 -7625.34 -5262.59 6254.12 -1899.26 2061.96 6617.63
387 -9133.78 -3007.83 6323.2 2605.77 5463.56 5100.47
388 -8626.11 -3693.84 5660.21 4534.47 6592.13 2884.51
389 -4800.14 -7712.86 4818.27 3479.59 4763.21 2674.78
390 2894.83 -14532.3 4373.26 231 -1848.17 5245.27
391 12080.7 -21514.1 4289.55 -3796.12 -11852.6 8072.68
392 17041.3 -25136.3 3614.72 -6891.23 -16977.7 8719.87
393 15355.6 -24500.9 1922.72 -7963.28 -10842.6 7331.83
394 9477.85 -20750 -42.9475 -6882.24 2364.09 4793.49
395 2978.02 -15688.7 -1621.68 -4553.03 11056.7 1150.06
396 -3073.53 -9869.78 -2865.83 -1559.4 10883.8 -4360.31
397 -8102.6 -3950.77 -3594.92 1333.28 6401.76 -10175.9
398 -11032.8 -71.6382 -3786.64 2696.09 2427.58 -12958.3
399 -12272.8 1089.85 -3567.7 2174.6 128.422 -11666.1
400 -12451.1 884.857 -2968.74 1052.94 -678.903 -7753.5
