# Dipole correlation
# Timestep Number-of-time-windows
# Index TimeDelta Ncount v_dipole_x*v_dipole_x v_dipole_x*v_dipole_y v_dipole_x*v_dipole_z v_dipole_y*v_dipole_y v_dipole_y*v_dipole_z v_dipole_z*v_dipole_z
10000 10
5 40 87 -4.03535e-06 2.1985e-06 1.62119e-05 -2.10439e-06 -5.47766e-06 -5.07184e-05
6 50 86 -3.57694e-06 2.85786e-06 7.40676e-06 -1.26479e-06 -8.74157e-06 9.49812e-06
7 60 85 3.16201e-06 -1.58994e-06 -1.61109e-05 9.23228e-07 2.89642e-05 6.16688e-05
8 70 84 1.05591e-07 -3.99311e-07 -9.61689e-06 1.05062e-07 7.95221e-07 -2.31821e-05
9 80 83 5.02789e-06 -1.41376e-06 -7.67456e-06 3.47371e-06 1.64859e-05 -9.34899e-05
10 90 82 1.2856e-06 -2.16038e-07 -1.67966e-06 1.80115e-06 -3.07356e-06 3.57321e-05
11000 10
1 0 101 1.4434e-05 -7.4888e-06 -2.50011e-05 2.05759e-05 3.01289e-06 0.000857928
2 10 100 1.53115e-06 -1.46376e-06 -1.75406e-05 -2.82356e-06 5.20612e-06 -0.000138256
3 20 99 2.32677e-06 -8.89185e-07 -5.63329e-06 3.04782e-06 -7.8854e-06 -8.59975e-05
4 30 98 -1.09302e-06 6.96462e-07 1.37878e-05 4.713e-07 -2.48854e-08 -0.000152512
5 40 97 -3.66062e-06 1.89286e-06 1.05604e-05 -1.79701e-06 -1.77502e-06 -9.5347e-06
6 50 96 -3.14365e-06 2.81576e-06 1.01468e-05 -2.02478e-06 -1.34836e-05 6.83238e-05
7 60 95 2.53462e-06 -2.03018e-06 -1.34857e-05 1.30977e-06 2.48588e-05 2.41562e-05
8 70 94 3.56387e-07 2.35818e-07 -9.32561e-06 -1.98806e-06 5.41347e-06 -5.41712e-05
9 80 93 4.6016e-06 -1.43534e-06 -7.77714e-06 2.66544e-06 1.81161e-05 -8.53241e-05
10 90 92 1.15647e-06 -4.52196e-07 -5.61503e-06 1.05434e-06 -1.26501e-06 6.80983e-05
11100 10
1 0 111 1.35072e-05 -5.50525e-06 -2.70282e-05 2.46897e-05 -6.07214e-06 0.000890823
2 10 110 1.48095e-06 -1.03616e-06 -1.64363e-05 -2.06033e-06 4.44781e-06 -0.00014349
3 20 109 2.20438e-06 -3.52064e-07 -5.46915e-06 2.66788e-06 -5.85432e-06 -6.3525e-05
4 30 108 -9.91059e-07 5.26942e-07 1.08062e-05 1.04473e-06 -9.83333e-06 -0.00017353
5 40 107 -3.502e-06 1.23389e-06 1.07257e-05 -3.62983e-06 2.98426e-06 2.43803e-06
6 50 106 -3.00644e-06 1.87849e-06 1.13735e-05 -2.88539e-06 -8.95549e-07 6.33637e-05
7 60 105 2.10709e-06 -2.55083e-06 -1.11918e-05 -3.55019e-07 2.0248e-05 -1.90768e-05
8 70 104 1.93413e-07 1.05286e-07 -4.92098e-06 -4.02578e-06 1.36984e-05 -3.87607e-05
9 80 103 4.09766e-06 -1.73333e-06 -6.65229e-06 9.13311e-07 1.842e-05 -0.000119673
10 90 102 1.00485e-06 -8.47106e-07 -5.18016e-06 -5.11625e-07 9.81041e-07 0.000119102
11200 10
1 0 121 1.29936e-05 -4.49578e-06 -2.64599e-05 2.36801e-05 -7.08133e-06 0.000868569
2 10 120 1.36789e-06 -1.21249e-06 -1.49799e-05 -2.75792e-06 8.76612e-06 -0.00013949
3 20 119 1.7656e-06 -6.62957e-07 -4.36188e-06 1.95151e-06 3.1974e-07 -6.66372e-05
4 30 118 -1.15648e-06 3.81217e-07 9.98318e-06 1.03339e-06 -1.25985e-05 -0.000158649
5 40 117 -3.54967e-06 8.1487e-07 1.10009e-05 -3.78347e-06 3.12205e-06 -3.00755e-05
6 50 116 -2.77129e-06 1.68714e-06 1.19283e-05 -2.24411e-06 -2.70668e-06 5.81555e-05
7 60 115 2.12852e-06 -1.77723e-06 -1.23105e-05 8.34621e-07 1.02573e-05 1.67895e-05
8 70 114 5.94407e-07 2.82543e-07 -3.58215e-06 -3.93928e-06 1.33274e-05 -3.418e-05
9 80 113 3.89362e-06 -1.50002e-06 -7.00004e-06 8.22533e-07 1.43981e-05 -0.000103427
10 90 112 9.12192e-07 -8.57262e-07 -8.70214e-06 -5.52198e-07 -1.31063e-05 0.000127999
11300 10
1 0 131 1.21407e-05 -4.12817e-06 -2.48179e-05 2.55325e-05 -1.46973e-05 0.000879057
2 10 130 1.21371e-06 -1.23227e-06 -1.44304e-05 -2.97087e-06 1.84093e-05 -0.000168191
3 20 129 1.58926e-06 -7.73024e-07 -4.01717e-06 1.07442e-06 -3.07987e-06 -6.0679e-05
4 30 128 -1.09786e-06 7.4601e-07 7.43073e-06 5.78138e-07 -1.47912e-05 -0.000145869
5 40 127 -3.25166e-06 4.39287e-07 1.34399e-05 -4.13066e-06 4.97541e-06 -3.9882e-05
6 50 126 -2.43538e-06 1.39606e-06 1.04177e-05 -1.43418e-06 -3.9796e-06 9.07113e-05
7 60 125 1.89322e-06 -1.66049e-06 -1.16165e-05 3.39136e-07 8.85317e-06 -1.90185e-05
8 70 124 4.85627e-07 9.49219e-07 -5.11865e-06 -3.31983e-06 1.21971e-05 -3.59053e-05
9 80 123 3.5419e-06 -8.40843e-07 -4.94341e-06 2.10092e-06 1.17814e-05 -8.53695e-05
10 90 122 8.21352e-07 -1.2951e-06 -7.58142e-06 -7.03215e-07 -8.2524e-06 0.000115593
11400 10
1 0 141 1.14211e-05 -3.68586e-06 -2.4384e-05 2.65762e-05 -1.24976e-05 0.000880466
2 10 140 1.09642e-06 -1.28611e-06 -1.19547e-05 -3.08664e-06 1.94115e-05 -0.000194094
3 20 139 1.52805e-06 -4.86355e-07 -3.96361e-06 6.1746e-07 -1.63128e-06 -3.70887e-05
4 30 138 -1.0124e-06 8.16069e-07 6.64847e-06 8.62752e-08 -1.96972e-05 -0.000153127
5 40 137 -2.98125e-06 4.6531e-07 1.3044e-05 -3.78258e-06 9.79723e-06 -4.3161e-05
6 50 136 -2.28487e-06 1.29167e-06 8.82575e-06 -1.38503e-06 -5.87395e-06 0.000121086
7 60 135 1.77976e-06 -1.4585e-06 -1.06026e-05 -2.48603e-07 1.86227e-05 -5.4472e-05
8 70 134 4.52922e-07 1.14496e-06 -4.03678e-06 -1.99304e-06 2.78211e-06 -2.15627e-05
9 80 133 3.25693e-06 -1.14382e-06 -5.19797e-06 7.82859e-07 1.00182e-05 -8.56786e-05
10 90 132 7.8313e-07 -1.26657e-06 -5.85599e-06 -3.61514e-08 -6.56304e-06 9.75507e-05
11500 10
1 0 151 1.11294e-05 -2.95156e-06 -2.19824e-05 2.66333e-05 -1.00658e-05 0.000883136
2 10 150 1.06784e-06 -1.39699e-06 -1.29708e-05 -3.04422e-06 1.72919e-05 -0.000216576
3 20 149 1.60291e-06 -2.07259e-07 -3.67441e-06 1.479e-06 -4.05796e-07 -4.03117e-05
4 30 148 -9.8397e-07 9.85435e-07 5.79568e-06 7.8128e-07 -2.05329e-05 -0.000110075
5 40 147 -2.73095e-06 7.13516e-07 1.27462e-05 -3.36709e-06 1.74871e-05 -7.70006e-05
6 50 146 -2.28569e-06 1.27857e-06 8.64271e-06 -1.28881e-06 -9.69247e-06 0.000136733
7 60 145 1.65326e-06 -1.1874e-06 -9.83313e-06 -4.10487e-07 1.29467e-05 -6.16379e-05
