# Time-averaged data for fix CPR
# TimeStep c_VIR[1] c_VIR[2] c_VIR[3] c_VIR[4] c_VIR[5] c_VIR[6]
79 -11784.2 -90511.2 19670.5 5797.62 6970.12 4157.78
80 -12447.5 -89734.5 17061.4 6835.5 6786.93 7711.75
81 -12785.2 -88666.5 14978.6 7524.91 6659.55 10290.3
82 -13102.5 -87498 13084.8 7947.61 6502.58 12190.7
83 -13304 -86121.2 11320 8278.6 6059.58 13499.9
84 -13302.2 -84472.7 9446.25 8742.98 5170.13 14255.2
85 -13082.3 -82468.4 7352.38 9500.34 3725.62 14370.3
86 -12485.5 -79896.6 5192.06 10585.4 1891.54 13953.3
87 -11482.8 -76580.5 3432.98 11454.9 22.4428 13170.8
88 -10217.4 -72515.2 2390.79 11564.8 -1697.8 12171.5
89 -9176.99 -67929.5 2135.19 10625 -3102.09 11058.6
90 -8207.67 -63172.8 2427.53 9042.12 -4103.13 9978.05
91 -7551.89 -58729.6 2881.02 7322.86 -4803.6 8935.4
92 -7125.87 -54823.8 3225.61 5818.79 -5246.91 7889.47
93 -6924.78 -51583.1 3291.02 4686.23 -5516.72 6862.21
94 -6936.07 -49282.3 2897.84 3846.34 -5562.68 5988.21
95 -7115.84 -47911.1 2284.96 3244.28 -5368.02 5350.98
96 -7499.33 -47343.2 1433.94 2847.31 -4920.6 4848.32
97 -8087.21 -47403.6 372.452 2563.8 -4143.92 4494.84
98 -8553.64 -47588.5 -581.617 2326.17 -3277.1 4307.62
99 -9110.76 -47962.3 -1472.04 1975.48 -2520.6 4256.86
100 -10042 -48670 -2267.76 1489.72 -1895.6 4337.08
101 -11443.5 -49903.5 -3073.09 952.932 -1381.02 4604.74
102 -12988.5 -51225.3 -3881.98 452.761 -829.115 4935.52
103 -14743.7 -52425.7 -4596.85 66.4925 -499.186 5241.48
104 -16402.3 -53223.7 -5237.95 -362.55 -413.751 5398.44
105 -18022.2 -53763 -5978.09 -734.967 -564.97 5402.61
106 -19640.5 -54285.9 -6800.55 -1005.99 -757.191 5313.68
107 -21253.9 -54937.2 -7842.07 -1068.89 -956.429 5087.67
108 -22672 -55660.4 -8999.15 -877.122 -1090.33 4773.43
109 -23915.1 -56338.7 -10172.1 -478.237 -907.551 4457.34
110 -25111.2 -56896.9 -11166 117.331 -364.342 4111.14
111 -25860.3 -57135.5 -11792.4 826.265 333.265 3644.04
112 -26164.5 -57036.1 -12049.6 1653.61 1003.82 3167.64
113 -26081.2 -56719 -12057.3 2390.13 1473.03 2632.82
114 -26125.8 -56579.1 -12165.4 2958.44 1659.23 2073.22
115 -26383.4 -56560.7 -12443.9 3358.26 1547.23 1466.38
116 -26876.7 -56781.5 -12849.5 3517.99 1274.25 807.119
117 -27434.6 -57037.2 -13364.5 3560.96 905.964 253.543
118 -28021.3 -57265.1 -13920 3313.1 551.265 -427.56
119 -28327.4 -57305.2 -14294.4 2727.88 350.331 -1253.82
120 -28198.7 -57060.4 -14363.8 1861 229.849 -2176.12
121 -27761.2 -56613.6 -14330.9 960.255 141.597 -3130.24
122 -26925.2 -56065.5 -14099.8 361.462 -223.927 -3951.09
123 -25747.4 -55496.1 -13558.8 342.719 -897.995 -4525.99
124 -24306.3 -54947.9 -12747 941.612 -1908 -4918.15
125 -22685 -54569.9 -11673 2058.48 -3117 -5261.53
126 -20835.5 -54401.9 -10499.2 3597.74 -4386.41 -5606.68
127 -18552.1 -54831.6 -9442.84 5417.56 -5409.28 -5962.29
128 -15792.4 -55905.3 -8757.63 7189.78 -5649.92 -6298.67
129 -12957.4 -57284.2 -8473.38 8543.61 -5053.34 -6763.05
130 -10721.3 -57713.3 -8472.18 9492.51 -3958.74 -7677.46
131 -8910.04 -56604.7 -8012.99 10238.9 -2898.36 -8698.52
132 -6662.59 -54104 -6566.38 11010.3 -2254.53 -8990.49
133 -3401.64 -50210 -4192.79 11698.4 -1861.54 -8036.73
134 18.6944 -46448.4 -1814.63 11976.6 -1705.06 -5542.43
135 1257.05 -44387.6 -401.284 12023.7 -1855.75 -2955.99
136 356.352 -41733.1 508.651 12391.9 -2056.4 -2491.12
137 -1206.13 -38841.6 1175.16 12958.2 -1918.41 -2855.7
138 -3336.61 -36555 1368.36 13304.7 -1293.37 -3145.31
139 -6762.58 -35337.5 823.02 13056.9 -73.2367 -3194.4
140 -12313.7 -35882.9 -1160.15 11687.9 1801.08 -2884.68
141 -19196.4 -37341.8 -4177.55 9230.38 3939.14 -2317.71
142 -24782.6 -37571.9 -6860.09 6526.28 5546.16 -2017.91
143 -27922.2 -35938.7 -8310.99 4048.58 6483.61 -2054.1
144 -29443.1 -33577.9 -8817.19 1897.73 7143.1 -2029.39
145 -30196.9 -31597.5 -8664.19 185.098 8005.21 -1682.34
146 -30673.5 -30068.9 -8026.03 -1082.23 9104.78 -1069.98
147 -30988.8 -28917.7 -6982.23 -1994.93 10324.4 -425.875
148 -31135.9 -27823.8 -5571.61 -2788.81 11477.8 36.6021
149 -30998.7 -26707.5 -3803.94 -3601.04 12408.1 224.772
150 -30587.6 -25665 -1703.26 -4378.41 13069.9 157.461
