# step strain stress
#
20000 0.999 -0.02522
20050 1.0015 -0.193171
20100 1.004 0.609519
20150 1.0065 0.172806
20200 1.009 0.0126533
20250 1.0115 0.0406027
20300 1.014 0.248317
20350 1.0165 -0.173441
20400 1.019 -0.182181
20450 1.0215 -0.0812022
20500 1.024 0.498742
20550 1.0265 0.890656
20600 1.029 0.158495
20650 1.0315 -0.0379453
20700 1.034 -0.276102
20750 1.0365 -0.222612
20800 1.039 -0.271925
20850 1.0415 -0.0735221
20900 1.044 -0.165018
20950 1.0465 0.148814
21000 1.049 0.272578
21050 1.0515 0.0737044
21100 1.054 -0.0527061
21150 1.0565 -0.194724
21200 1.059 0.347832
21250 1.0615 0.230227
21300 1.064 0.734068
21350 1.0665 0.276335
21400 1.069 0.0581357
21450 1.0715 0.0694303
21500 1.074 -0.0309934
21550 1.0765 -0.233603
21600 1.079 0.195259
21650 1.0815 0.286232
21700 1.084 -0.182431
21750 1.0865 -0.232558
21800 1.089 0.0726607
21850 1.0915 -0.141811
21900 1.094 -0.5202
21950 1.0965 -0.289198
22000 1.099 -0.498322
22050 1.1015 0.0425834
22100 1.104 -0.300152
22150 1.1065 -0.464487
22200 1.109 0.288623
22250 1.1115 0.188778
22300 1.114 -0.0704569
22350 1.1165 0.0681169
22400 1.119 0.342979
22450 1.1215 -0.407092
22500 1.124 0.248231
22550 1.1265 0.261145
22600 1.129 -0.0762981
22650 1.1315 -0.284462
22700 1.134 -0.0109846
22750 1.1365 -0.252013
22800 1.139 0.0458689
22850 1.1415 -0.423579
22900 1.144 -0.101982
22950 1.1465 0.195785
23000 1.149 0.0568053
23050 1.1515 0.186276
23100 1.154 0.245269
23150 1.1565 0.212881
23200 1.159 -0.0658292
23250 1.1615 0.27215
23300 1.164 -0.19156
23350 1.1665 -0.333922
23400 1.169 -0.215267
23450 1.1715 -0.151002
23500 1.174 0.0563821
23550 1.1765 0.185923
23600 1.179 0.0685734
23650 1.1815 0.0192734
23700 1.184 0.302747
23750 1.1865 0.362202
23800 1.189 0.0528373
23850 1.1915 0.159055
23900 1.194 0.250953
23950 1.1965 0.146707
24000 1.199 0.103594
