# Time-averaged data for fix myRDF
# TimeStep Number-of-rows
# Row c_rdf1[1] c_rdf1[2] c_rdf1[3]
100 100
79 7.85 0.989436 188.202
80 7.95 1.0182 195.589
81 8.05 1.01034 203.103
82 8.15 0.985264 210.615
83 8.25 1.01522 218.546
84 8.35 0.998461 226.536
85 8.45 0.992332 234.669
86 8.55 1.0283 243.297
87 8.65 1.00617 251.938
88 8.75 1.02956 260.985
89 8.85 0.991051 269.894
90 8.95 0.999983 279.088
91 9.05 1.00467 288.533
92 9.15 0.972 297.873
93 9.25 0.980027 307.498
94 9.35 0.990109 317.433
95 9.45 0.994009 327.621
96 9.55 0.98641 337.947
97 9.65 1.02367 348.888
98 9.75 0.998941 359.787
99 9.85 0.984914 370.755
100 9.95 0.987239 381.974
500 100
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 0 0
10 0.95 0 0
11 1.05 0.231274 0.0291429
12 1.15 3.60726 0.574286
13 1.25 0.310517 0.629714
14 1.35 0.046611 0.639429
15 1.45 0.04525 0.650286
16 1.55 1.49065 1.05943
17 1.65 2.07261 1.704
18 1.75 0.968683 2.04286
19 1.85 1.20736 2.51486
20 1.95 1.43537 3.13829
21 2.05 0.449989 3.35429
22 2.15 0.232677 3.47714
23 2.25 0.36571 3.68857
24 2.35 0.609711 4.07314
25 2.45 0.759322 4.59371
26 2.55 0.974152 5.31714
27 2.65 1.37644 6.42114
28 2.75 1.3834 7.616
29 2.85 1.13025 8.66457
30 2.95 0.968164 9.62686
31 3.05 0.930458 10.6154
32 3.15 0.875265 11.6074
33 3.25 0.892485 12.684
34 3.35 0.916574 13.8589
35 3.45 0.897921 15.0794
36 3.55 0.941852 16.4349
37 3.65 0.885638 17.7823
38 3.75 0.944281 19.2989
39 3.85 1.08053 21.128
40 3.95 1.08035 23.0531
41 4.05 1.11584 25.1434
42 4.15 1.15133 27.408
43 4.25 1.18123 29.8446
44 4.35 1.11345 32.2509
45 4.45 1.0448 34.6137
46 4.55 0.96535 36.896
47 4.65 0.961281 39.2697
48 4.75 0.983351 41.8034
49 4.85 0.978021 44.4309
50 4.95 1.0171 47.2771
51 5.05 1.07051 50.3949
52 5.15 1.03156 53.5194
53 5.25 1.01668 56.7194
54 5.35 0.974174 59.904
55 5.45 1.03228 63.4057
56 5.55 0.982206 66.8606
57 5.65 0.958221 70.3537
58 5.75 0.95945 73.9766
59 5.85 0.969325 77.7651
60 5.95 0.932004 81.5331
61 6.05 0.991921 85.6794
62 6.15 0.973489 89.884
63 6.25 0.945462 94.1017
64 6.35 0.958807 98.5171
65 6.45 0.977841 103.163
66 6.55 0.99425 108.034
67 6.65 1.01676 113.169
68 6.75 1.01025 118.426
69 6.85 1.02331 123.909
70 6.95 1.02497 129.563
71 7.05 1.00083 135.244
72 7.15 1.01941 141.195
73 7.25 0.993248 147.158
74 7.35 0.992272 153.279
75 7.45 1.01128 159.69
76 7.55 1.02498 166.362
77 7.65 1.01866 173.17
78 7.75 1.00767 180.082
79 7.85 1.00052 187.122
80 7.95 1.00742 194.394
81 8.05 1.00137 201.805
82 8.15 1.01562 209.509
83 8.25 0.990947 217.211
84 8.35 0.991501 225.106
85 8.45 1.00463 233.298
86 8.55 1.02785 241.878
87 8.65 1.02853 250.667
88 8.75 0.985834 259.287
89 8.85 1.02323 268.439
90 8.95 1.01376 277.712
91 9.05 0.998463 287.051
92 9.15 0.990541 296.522
93 9.25 0.993587 306.23
94 9.35 0.977267 315.987
95 9.45 0.977571 325.957
96 9.55 0.990743 336.276
97 9.65 0.991233 346.818
98 9.75 0.985471 357.516
99 9.85 1.00755 368.679
100 9.95 1.01777 380.186
600 100
1 0.05 0 0
2 0.15 0 0
3 0.25 0 0
4 0.35 0 0
5 0.45 0 0
6 0.55 0 0
7 0.65 0 0
8 0.75 0 0
9 0.85 0 0
10 0.95 0 0
11 1.05 0.294897 0.0371429
12 1.15 3.46153 0.56
13 1.25 0.371494 0.626286
14 1.35 0.0521843 0.637143
15 1.45 0.0737967 0.654857
16 1.55 1.57061 1.08571
17 1.65 1.98905 1.704
18 1.75 1.00507 2.05543
19 1.85 1.21236 2.52914
20 1.95 1.48871 3.17543
21 2.05 0.4335 3.38343
22 2.15 0.224133 3.50171
23 2.25 0.405383 3.736
24 2.35 0.615475 4.124
25 2.45 0.764658 4.648
26 2.55 0.989203 5.38229
27 2.65 1.36786 6.47886
28 2.75 1.37348 7.66457
29 2.85 1.09145 8.67657
30 2.95 0.875467 9.54629
31 3.05 0.956268 10.5617
32 3.15 0.956042 11.6446
33 3.25 0.884844 12.7114
34 3.35 0.841256 13.7891
35 3.45 0.871831 14.9737
36 3.55 0.938203 16.3234
37 3.65 1.01868 17.8726
38 3.75 1.0192 19.5086
39 3.85 1.06247 21.3063
40 3.95 1.0341 23.148
41 4.05 1.0911 25.1909
42 4.15 1.14609 27.444
43 4.25 1.17013 29.8566
44 4.35 1.07091 32.1697
45 4.45 1.03269 34.504
46 4.55 1.00859 36.8874
47 4.65 0.96525 39.2697
48 4.75 0.982709 41.8006
49 4.85 0.990476 44.46
50 4.95 0.988669 47.2251
