# Time-averaged data for fix myMSD
# TimeStep MSD_X MSD_Y MSD_Z MSD_Total PotE Temperture
13100 0.431806 0.419689 0.377741 1.22924 -40973.8 417.23
13200 0.447258 0.410774 0.36911 1.22714 -40987.4 435.09
13300 0.431991 0.397429 0.350248 1.17967 -40985.3 430.854
13400 0.417584 0.415418 0.363877 1.19688 -40985.2 430.731
13500 0.418486 0.423187 0.361188 1.20286 -40986.2 434.803
13600 0.421354 0.406509 0.360233 1.1881 -40976.7 428.526
13700 0.440732 0.386501 0.350321 1.17755 -40994.7 447.002
13800 0.485403 0.395202 0.399578 1.28018 -40980.7 432.573
13900 0.507591 0.404222 0.421466 1.33328 -40984.8 438.331
14000 0.490218 0.406294 0.418377 1.31489 -40976.7 433.676
14100 0.454872 0.413009 0.419168 1.28705 -40976.7 441.614
14200 0.435593 0.443171 0.420201 1.29896 -40971.5 439.038
14300 0.412961 0.454475 0.412635 1.28007 -40984.3 449.386
14400 0.410442 0.486915 0.44538 1.34274 -40959.6 434.686
14500 0.403216 0.488708 0.40973 1.30165 -40967.4 445.061
14600 0.384449 0.470466 0.396999 1.25191 -40973 448.219
14700 0.381349 0.450219 0.392691 1.22426 -40974 448.4
14800 0.388872 0.422783 0.403628 1.21528 -40968.7 443.981
14900 0.422803 0.43427 0.414097 1.27117 -40958.8 440.447
15000 0.440569 0.445226 0.410883 1.29668 -40960.3 447.123
15100 0.41038 0.445501 0.406543 1.26242 -40967.1 452.602
15200 0.391999 0.449101 0.434949 1.27605 -40980.6 456.152
15300 0.402861 0.464014 0.453987 1.32086 -40970.6 451.332
15400 0.374119 0.435189 0.443135 1.25244 -40970.1 451.168
15500 0.406522 0.457298 0.449727 1.31355 -40959.8 446.648
15600 0.406258 0.473825 0.450547 1.33063 -40958.6 453.242
15700 0.394221 0.429031 0.427699 1.25095 -40947.8 448.824
15800 0.399645 0.404865 0.403775 1.20828 -40971 467.342
15900 0.401917 0.405146 0.389031 1.19609 -40960.2 456.029
16000 0.374897 0.428044 0.372739 1.17568 -40949.6 450.735
16100 0.363138 0.433717 0.359395 1.15625 -40945.6 453.299
16200 0.37486 0.439666 0.370528 1.18505 -40945.4 459.388
16300 0.408359 0.431279 0.370281 1.20992 -40955.7 466.354
16400 0.428196 0.435022 0.396091 1.25931 -40941.2 454.404
16500 0.452192 0.47685 0.417609 1.34665 -40946.8 463.734
16600 0.473479 0.473813 0.444153 1.39144 -40941.9 460.514
16700 0.481608 0.460817 0.449666 1.39209 -40935.6 463.645
16800 0.487088 0.448748 0.437743 1.37358 -40951.7 473.221
16900 0.490313 0.441213 0.465938 1.39746 -40945.7 465.889
17000 0.496723 0.439989 0.463649 1.40036 -40949.2 472.049
17100 0.523333 0.435706 0.450196 1.40924 -40950.2 474.211
17200 0.504164 0.454931 0.427971 1.38707 -40933.5 460.573
17300 0.495496 0.473942 0.425725 1.39516 -40945.9 475.995
17400 0.475655 0.470504 0.43347 1.37963 -40936.1 465.347
17500 0.493785 0.495105 0.441961 1.43085 -40943.7 478.601
17600 0.51556 0.487464 0.424563 1.42759 -40945.8 477.657
17700 0.524644 0.521949 0.416581 1.46317 -40946.1 476.427
17800 0.489736 0.527364 0.413237 1.43034 -40922.5 461.341
17900 0.501699 0.501723 0.428004 1.43143 -40938 479.322
18000 0.496988 0.484256 0.4275 1.40874 -40934.4 476.095
18100 0.489035 0.48255 0.415866 1.38745 -40941.1 480.418
18200 0.493735 0.472007 0.402666 1.36841 -40923.5 470.603
18300 0.531197 0.467267 0.425737 1.4242 -40927.7 479.117
18400 0.549562 0.477417 0.428834 1.45581 -40900.2 464.765
18500 0.520769 0.492008 0.419316 1.43209 -40918.5 486.567
18600 0.513255 0.498081 0.40096 1.4123 -40922.4 486.904
18700 0.498493 0.55612 0.386371 1.44098 -40927.3 491.014
18800 0.480347 0.581883 0.382638 1.44487 -40927.6 487.68
18900 0.497351 0.558608 0.371961 1.42792 -40919.1 483.029
19000 0.504053 0.573117 0.388535 1.4657 -40916 482.489
19100 0.515848 0.553582 0.405185 1.47461 -40921.1 491.023
19200 0.526347 0.538353 0.417595 1.48229 -40917.6 490.044
19300 0.517907 0.541355 0.436672 1.49593 -40929.8 498.457
19400 0.489925 0.524454 0.44549 1.45987 -40927.8 490.643
19500 0.471465 0.481593 0.421357 1.37441 -40915.5 486.492
19600 0.454772 0.461724 0.402012 1.31851 -40925.2 502.116
19700 0.454868 0.450281 0.394781 1.29993 -40919.5 495.469
19800 0.470113 0.44892 0.386912 1.30595 -40918.5 491.809
19900 0.499476 0.491858 0.392564 1.3839 -40928.4 503.38
20000 0.54673 0.523429 0.394312 1.46447 -40933.5 500.582
20100 0.553802 0.539926 0.387111 1.48084 -40918.9 496.536
20200 0.574541 0.549045 0.389846 1.51343 -40931.4 508.83
20300 0.559917 0.531922 0.386076 1.47792 -40928.3 498.658
20400 0.514517 0.531438 0.384573 1.43053 -40912 494.173
20500 0.513295 0.521064 0.377255 1.41161 -40912.8 499.027
20600 0.511334 0.512058 0.399715 1.42311 -40905.2 496.969
20700 0.530933 0.496545 0.39923 1.42671 -40907.3 506.588
20800 0.513033 0.47901 0.39309 1.38513 -40903.8 504.138
20900 0.487447 0.518103 0.371478 1.37703 -40905.8 506.442
21000 0.463886 0.549934 0.389821 1.40364 -40899 504.733
21100 0.45592 0.525679 0.3869 1.3685 -40918 520.707
21200 0.483973 0.526463 0.415881 1.42632 -40904.7 509.79
21300 0.500331 0.501853 0.44245 1.44463 -40906.3 512.301
21400 0.482499 0.491669 0.440844 1.41501 -40904.1 511.18
21500 0.500998 0.505807 0.423789 1.43059 -40904.8 511.879
21600 0.508698 0.516331 0.404402 1.42943 -40902.3 511.187
21700 0.537397 0.507073 0.384816 1.42929 -40904 515.366
21800 0.509437 0.5301 0.356233 1.39577 -40900 514.528
21900 0.531485 0.559184 0.365391 1.45606 -40902.7 517.939
22000 0.54963 0.54031 0.38874 1.47868 -40902.1 517.327
22100 0.581162 0.586126 0.431268 1.59856 -40890.1 507.354
22200 0.59425 0.582534 0.454848 1.63163 -40904.4 526.521
22300 0.58771 0.538664 0.452676 1.57905 -40905.3 520.887
22400 0.567301 0.526261 0.442348 1.53591 -40914.2 528.998
22500 0.589777 0.541192 0.455046 1.58601 -40897.4 514.176
22600 0.610303 0.539476 0.463335 1.61311 -40908.3 525.36
22700 0.629948 0.522379 0.483105 1.63543 -40901.7 522.012
22800 0.646452 0.547462 0.472852 1.66677 -40887.1 516.174
22900 0.623304 0.567833 0.491258 1.68239 -40898.6 529.222
23000 0.618615 0.565635 0.520253 1.7045 -40895.3 526.05
23100 0.592958 0.567241 0.539252 1.69945 -40888.5 526.156
23200 0.596123 0.562475 0.532997 1.69159 -40882.7 523.271
23300 0.616155 0.54773 0.523836 1.68772 -40886.4 532.822
23400 0.617656 0.55228 0.482407 1.65234 -40897.4 539.298
23500 0.608847 0.523677 0.444462 1.57699 -40913 544.887
23600 0.622767 0.530375 0.439326 1.59247 -40905.3 534.477
23700 0.602809 0.545524 0.452044 1.60038 -40880.4 520.804
23800 0.622999 0.549922 0.474712 1.64763 -40881.8 532.186
23900 0.647374 0.557682 0.473104 1.67816 -40871.6 530.698
24000 0.629861 0.561838 0.484057 1.67576 -40893.7 548.289
24100 0.63754 0.56629 0.516299 1.72013 -40878.8 536.894
24200 0.648164 0.572078 0.536639 1.75688 -40888.3 543.044
24300 0.686784 0.575176 0.558229 1.82019 -40881 536.127
24400 0.684034 0.547747 0.551549 1.78333 -40877.5 538.803
24500 0.671787 0.572627 0.518676 1.76309 -40880.6 544.035
24600 0.684507 0.564205 0.52661 1.77532 -40874.1 543.762
24700 0.633452 0.575038 0.501971 1.71046 -40887.3 553.59
24800 0.619117 0.588781 0.491605 1.6995 -40894.6 552.884
24900 0.612738 0.618546 0.497225 1.72851 -40871.6 534.149
25000 0.672333 0.599337 0.54673 1.8184 -40871.4 542.815
25100 0.682973 0.589639 0.555481 1.82809 -40870.2 547.548
25200 0.661047 0.583486 0.583925 1.82846 -40862.1 542.986
25300 0.636185 0.595874 0.573726 1.80578 -40871.3 556.021
25400 0.653063 0.584175 0.564916 1.80215 -40866.2 550.758
25500 0.649559 0.553171 0.535882 1.73861 -40884.9 561.25
25600 0.67224 0.537769 0.527212 1.73722 -40865.7 548.401
25700 0.676922 0.579473 0.533906 1.7903 -40866.2 553.948
25800 0.690703 0.604409 0.53426 1.82937 -40870.8 556.456
25900 0.708904 0.619879 0.527671 1.85645 -40878.9 561.684
26000 0.735233 0.606859 0.489394 1.83149 -40885.2 565.781
26100 0.739165 0.600974 0.474519 1.81466 -40872.2 555.474
26200 0.731996 0.611515 0.474689 1.8182 -40875.9 559.197
26300 0.73086 0.602292 0.468624 1.80178 -40859.6 548.585
26400 0.732714 0.603833 0.487819 1.82437 -40866.6 566.031
26500 0.713367 0.579659 0.51396 1.80699 -40865.1 562.036
26600 0.708149 0.558702 0.5152 1.78205 -40860.8 557.31
26700 0.744309 0.548532 0.496057 1.7889 -40866.7 564.255
26800 0.746248 0.55636 0.499362 1.80197 -40867.6 567.96
26900 0.715418 0.548071 0.505535 1.76902 -40853.2 561.426
27000 0.671074 0.554483 0.498039 1.7236 -40858.4 571.414
27100 0.642454 0.576848 0.490852 1.71015 -40869.5 579.719
27200 0.649477 0.609234 0.517148 1.77586 -40859.5 567.588
27300 0.665063 0.586754 0.541082 1.7929 -40849 560.279
27400 0.649169 0.573437 0.565813 1.78842 -40859.9 578.948
27500 0.666981 0.609981 0.545831 1.82279 -40835.8 562.048
27600 0.665625 0.624389 0.544762 1.83478 -40849.9 576.578
27700 0.655479 0.59051 0.547669 1.79366 -40840.7 573.914
27800 0.63862 0.558625 0.532013 1.72926 -40835.5 569.514
27900 0.610736 0.521267 0.508679 1.64068 -40859.6 591.292
28000 0.628245 0.501769 0.484545 1.61456 -40855.4 584.229
28100 0.639388 0.534705 0.48593 1.66002 -40836.2 570.752
28200 0.627877 0.53861 0.477836 1.64432 -40834.9 572.135
28300 0.613664 0.533224 0.50479 1.65168 -40838 579.299
28400 0.616119 0.566628 0.520079 1.70283 -40833.4 582.692
28500 0.634899 0.589117 0.534485 1.7585 -40844.4 590.427
28600 0.638852 0.612366 0.54773 1.79895 -40842.2 586.006
28700 0.660583 0.60015 0.528668 1.7894 -40843.6 588.476
28800 0.680682 0.588006 0.516318 1.78501 -40809.8 565.434
28900 0.689326 0.576801 0.535817 1.80194 -40836.2 597.614
29000 0.641242 0.580848 0.543986 1.76608 -40843.5 596.308
29100 0.57827 0.558036 0.526959 1.66326 -40834.7 586.748
29200 0.525631 0.562525 0.518343 1.6065 -40836.9 592.464
29300 0.509231 0.574368 0.51474 1.59834 -40841.6 591.272
29400 0.534996 0.5947 0.5078 1.6375 -40814.2 572.584
29500 0.572275 0.576023 0.474673 1.62297 -40825.1 593.604
29600 0.57424 0.584061 0.485114 1.64342 -40822.2 593.999
29700 0.5747 0.578934 0.519737 1.67337 -40830.7 599.053
29800 0.602299 0.593365 0.558842 1.75451 -40838.4 603.657
29900 0.624652 0.580991 0.59642 1.80206 -40819.9 589.045
30000 0.630149 0.560989 0.633761 1.8249 -40817.2 589.963
30100 0.654495 0.579298 0.633557 1.86735 -40804.3 588.352
30200 0.680288 0.588187 0.601909 1.87038 -40820.4 605.993
30300 0.719524 0.581107 0.58179 1.88242 -40817.1 600.562
30400 0.722118 0.609896 0.536228 1.86824 -40812.9 600.852
30500 0.734173 0.642513 0.52436 1.90105 -40816.5 603.509
30600 0.759946 0.655593 0.5547 1.97024 -40820 610.596
30700 0.724087 0.677032 0.594608 1.99573 -40815.9 603.113
30800 0.694574 0.642184 0.615152 1.95191 -40791.5 595.234
30900 0.675401 0.62507 0.589947 1.89042 -40805.1 607.269
31000 0.674235 0.620917 0.560962 1.85611 -40798.4 603.923
31100 0.664572 0.610344 0.598887 1.8738 -40783.7 598.78
31200 0.670247 0.630301 0.603827 1.90438 -40790.9 611.278
31300 0.685047 0.637115 0.591654 1.91382 -40801.1 616.55
31400 0.695737 0.619109 0.621145 1.93599 -40796.5 610.407
31500 0.745391 0.627724 0.642085 2.0152 -40798.8 614.151
31600 0.76148 0.62239 0.61826 2.00213 -40790.4 610.142
31700 0.747738 0.63455 0.60168 1.98397 -40783.9 605.277
31800 0.744012 0.674137 0.636711 2.05486 -40767.4 605.548
31900 0.738013 0.667662 0.635118 2.04079 -40754.1 602.53
32000 0.699326 0.614202 0.618274 1.9318 -40774 627.566
32100 0.672602 0.575321 0.573704 1.82163 -40768.1 620.913
32200 0.67172 0.581867 0.551039 1.80463 -40773.8 621.521
32300 0.682733 0.609998 0.587567 1.8803 -40754.6 611.995
32400 0.661506 0.623202 0.608108 1.89282 -40779.8 635.916
32500 0.62375 0.648997 0.619769 1.89252 -40789.7 633.016
32600 0.597515 0.63226 0.602446 1.83222 -40769.3 611.724
32700 0.613248 0.638948 0.585586 1.83778 -40766.1 620.875
32800 0.640644 0.667307 0.613156 1.92111 -40791.2 640.393
32900 0.633924 0.66791 0.61038 1.91221 -40774.5 623.213
33000 0.645986 0.632845 0.607455 1.88629 -40763.3 619.434
33100 0.664681 0.601129 0.608706 1.87452 -40763 630.578
33200 0.630971 0.593457 0.612185 1.83661 -40776.5 639.315
33300 0.641148 0.598199 0.624731 1.86408 -40775 630
33400 0.636567 0.601733 0.630722 1.86902 -40776.3 635.202
33500 0.620168 0.561784 0.607115 1.78907 -40775.4 635.74
33600 0.611336 0.539975 0.576181 1.72749 -40776.1 631.471
33700 0.618627 0.572207 0.577544 1.76838 -40782.2 636.393
33800 0.639386 0.599133 0.552405 1.79092 -40762 627.183
33900 0.652872 0.59976 0.55305 1.80568 -40786.9 650.28
34000 0.697192 0.617798 0.570233 1.88522 -40787 644.88
34100 0.745386 0.629922 0.630741 2.00605 -40773.2 635.444
34200 0.773236 0.659307 0.67143 2.10397 -40781.4 642.928
34300 0.746106 0.641056 0.682875 2.07004 -40796 654.329
34400 0.700876 0.62573 0.656552 1.98316 -40780.8 637.253
34500 0.669278 0.608207 0.631136 1.90862 -40764.5 626.351
34600 0.620191 0.616837 0.624659 1.86169 -40772.2 646.586
34700 0.600396 0.628254 0.657912 1.88656 -40746.5 624.125
34800 0.60893 0.633117 0.661996 1.90404 -40763 647.424
34900 0.649966 0.639927 0.65435 1.94424 -40775.2 650.933
35000 0.682705 0.638933 0.664554 1.98619 -40779.9 658.346
35100 0.688233 0.669245 0.67516 2.03264 -40772.5 649.346
35200 0.68107 0.658892 0.651687 1.99165 -40765.3 646.748
35300 0.657953 0.660955 0.658724 1.97763 -40760.6 645.029
35400 0.605419 0.660043 0.637667 1.90313 -40752 648.757
35500 0.575493 0.645841 0.631324 1.85266 -40749.7 651.505
35600 0.572083 0.623407 0.634231 1.82972 -40738.9 646.765
35700 0.579099 0.608597 0.615513 1.80321 -40762.6 665.64
35800 0.597428 0.634941 0.662178 1.89455 -40763.6 663.032
35900 0.660406 0.626211 0.680488 1.9671 -40753.3 656.601
36000 0.663841 0.626606 0.689021 1.97947 -40770.5 667.441
36100 0.67684 0.604308 0.700024 1.98117 -40759.5 657.671
36200 0.687664 0.607164 0.679586 1.97441 -40764.6 665.95
36300 0.707608 0.600318 0.703096 2.01102 -40751.4 656.292
36400 0.694037 0.611822 0.705411 2.01127 -40752.4 658.487
36500 0.655615 0.635924 0.697674 1.98921 -40758.3 665.802
36600 0.669674 0.651169 0.693357 2.0142 -40763.2 672.509
