# Time-averaged data for fix myMSD
# TimeStep c_msd1[1] c_msd1[2] c_msd1[3] c_msd1[4] c_thermo_temp
26500 0.188845 0.212289 0.223534 0.624669 542.543
26600 0.189389 0.205868 0.232111 0.627369 532.473
26700 0.200475 0.209464 0.222122 0.632061 520.673
26800 0.190248 0.223447 0.196769 0.610464 515.212
26900 0.172921 0.239251 0.190145 0.602318 507.638
27000 0.171131 0.233191 0.189729 0.594051 523.012
27100 0.182282 0.225045 0.202206 0.609533 550.764
27200 0.202783 0.253114 0.229921 0.685818 535.147
27300 0.218734 0.258313 0.240121 0.717168 520.822
27400 0.220515 0.250543 0.253408 0.724466 522.599
27500 0.215933 0.257337 0.27282 0.74609 516.097
27600 0.2255 0.257975 0.263372 0.746847 519.103
27700 0.234084 0.287194 0.256122 0.777401 549.554
27800 0.240486 0.286604 0.256675 0.783765 543.463
27900 0.215871 0.264862 0.256102 0.736835 525.583
28000 0.221749 0.243956 0.240791 0.706496 519.131
28100 0.213533 0.221345 0.220862 0.65574 524.84
28200 0.206012 0.215645 0.22009 0.641747 526.882
28300 0.21976 0.226945 0.230357 0.677062 523.274
28400 0.220274 0.212088 0.223929 0.656291 538.004
28500 0.201474 0.211767 0.218071 0.631312 538.429
28600 0.184737 0.215802 0.206225 0.606765 547.378
28700 0.168614 0.207156 0.188924 0.564694 539.434
28800 0.178966 0.203356 0.175632 0.557955 530.601
28900 0.17432 0.198886 0.153997 0.527203 540.728
29000 0.178068 0.195024 0.163554 0.536647 569.233
29100 0.177519 0.210562 0.184336 0.572417 555.546
29200 0.193332 0.222402 0.204417 0.62015 547.515
29300 0.194215 0.233828 0.200342 0.628386 526.985
29400 0.210811 0.230651 0.221416 0.662877 552.532
29500 0.211032 0.226671 0.219737 0.65744 531.682
29600 0.202152 0.213298 0.202494 0.617943 546.039
29700 0.199438 0.200538 0.201298 0.601274 556.413
29800 0.173765 0.203305 0.188179 0.565249 552.265
29900 0.200556 0.245308 0.211425 0.657289 552.082
30000 0.202412 0.267771 0.217486 0.687669 560.324
30100 0.210445 0.274718 0.238857 0.724019 567.87
30200 0.23824 0.287048 0.264612 0.7899 559.884
30300 0.265251 0.278648 0.278908 0.822807 530.353
30400 0.265784 0.263442 0.275435 0.804661 545.283
30500 0.272416 0.276501 0.283192 0.832108 554.664
30600 0.252573 0.255226 0.299253 0.807052 586.855
30700 0.243382 0.264038 0.27492 0.782339 579.312
30800 0.259064 0.272649 0.258753 0.790466 542.133
30900 0.257204 0.271205 0.267909 0.796319 532.765
31000 0.244308 0.260944 0.252569 0.757821 546.385
31100 0.260875 0.259845 0.264296 0.785015 558.356
31200 0.250094 0.263475 0.261982 0.775551 576.307
31300 0.230192 0.262538 0.256267 0.748996 557.671
31400 0.217817 0.243809 0.241613 0.70324 563.771
31500 0.207272 0.229957 0.248722 0.685952 542.567
31600 0.207885 0.249679 0.257318 0.714882 524.249
31700 0.216689 0.249088 0.277968 0.743745 537.622
31800 0.23475 0.27545 0.297908 0.808109 564.393
31900 0.259788 0.296194 0.339256 0.895238 563.782
32000 0.2624 0.277331 0.320317 0.860049 581.356
32100 0.264069 0.28305 0.312422 0.859542 588.126
32200 0.271641 0.286728 0.310205 0.868575 560.273
32300 0.262282 0.276438 0.307343 0.846063 541.797
32400 0.254511 0.264409 0.28669 0.80561 556.094
32500 0.261332 0.272233 0.267476 0.801041 568.099
32600 0.252457 0.264316 0.272309 0.789083 589.729
32700 0.277668 0.290656 0.28413 0.852454 588.901
32800 0.30527 0.312864 0.283247 0.901381 566.7
32900 0.320344 0.286383 0.302719 0.909446 567.124
33000 0.328998 0.294905 0.309496 0.933399 586.592
33100 0.336684 0.319714 0.334148 0.990546 575.619
33200 0.31626 0.296804 0.334405 0.947468 591.334
33300 0.295871 0.324253 0.307344 0.927468 593.553
33400 0.290739 0.310848 0.301627 0.903214 619.955
33500 0.299867 0.288704 0.302726 0.891297 588.846
33600 0.299279 0.306893 0.316763 0.922935 569.318
33700 0.312395 0.343561 0.325349 0.981305 573.31
33800 0.318806 0.339815 0.33009 0.988711 583.356
33900 0.313215 0.331901 0.331006 0.976122 608.014
34000 0.307431 0.317816 0.324203 0.949449 623.379
34100 0.296246 0.310145 0.287764 0.894155 595.246
34200 0.289899 0.334992 0.297856 0.922747 616.948
34300 0.288061 0.365013 0.31332 0.966393 591.436
34400 0.271462 0.347886 0.300659 0.920007 568.103
34500 0.267403 0.333959 0.324796 0.926159 592.289
34600 0.27268 0.35165 0.355114 0.979444 596.042
34700 0.271749 0.359878 0.366184 0.99781 616.449
34800 0.263129 0.340571 0.333679 0.93738 603.236
34900 0.257384 0.320677 0.305557 0.883618 591.456
35000 0.257046 0.292519 0.32447 0.874035 581.952
35100 0.246974 0.2938 0.361529 0.902302 606.672
35200 0.277321 0.308342 0.366377 0.95204 616.196
