# Time-averaged data for fix avborn
# TimeStep c_born[1] c_born[2] c_born[3] c_born[4] c_born[5] c_born[6] c_born[7] c_born[8] c_born[9] c_born[10] c_born[11] c_born[12] c_born[13] c_born[14] c_born[15] c_born[16] c_born[17] c_born[18] c_born[19] c_born[20] c_born[21]
8500 368276 368413 159213 583602 576665 241390 -106683 95139.3 129214 -9154.56 -4817.36 96961.2 -129275 4034.34 5761.08 -776.588 -2194.58 -218.361 6530.07 -2225.21 130656
8600 369211 368898 159259 583480 577841 241423 -107349 95299.9 129385 -8800.07 -4451.04 96822.3 -129224 3967.78 5470.52 -748.482 -2107.29 -177.993 6156.38 -2016.24 130961
8700 369814 369084 159276 582569 578755 241132 -107738 95387.8 129341 -9347.31 -4466.77 96686.1 -128999 4412.01 5261.55 -692.692 -2256.49 -302.262 5603.7 -1676.76 131165
8800 369726 369067 159322 582793 578558 241228 -107587 95421.7 129090 -9631.45 -4550.91 96715.8 -128652 4699.4 5361.7 -686.363 -2229.26 -300.637 5316.96 -1674.3 131108
8900 369081 368765 158893 582260 577350 241247 -107037 95315.9 128725 -9890.17 -4609.51 96715 -128406 5011.55 5423.26 -711.708 -1833.58 -214.282 5307.66 -1579.97 130914
9000 368838 368480 158939 581469 576981 241100 -106792 95326.6 128345 -11276 -4920.98 96677.8 -127947 5978.99 5745.02 -654.905 -2150.18 -215.087 5432.17 -1553.18 130964
9100 368696 368486 158987 581134 576178 240900 -106660 95348.4 128329 -11914.3 -4971.92 96704 -128240 6484.78 5817.71 -746.064 -2331.71 -192.009 5529.2 -1504.77 130401
9200 368588 368076 158777 580516 575899 240951 -106494 95330.5 128330 -12348.2 -5012.16 96482 -128511 6901.45 5884.71 -1024.29 -2445.9 -194.575 5325.7 -1440.33 130590
9300 368564 367722 158827 580054 576360 241106 -106292 95437 128048 -11211.8 -4791.52 96372.5 -127871 6109.3 5605.36 -742.963 -2361.17 -243.322 5127.53 -1432.08 131032
9400 368268 367862 158830 580075 575955 241231 -106134 95380 128137 -9542.42 -4445.73 96416.8 -128032 4686.92 5018.77 -791.727 -2245.23 -274.068 4810.43 -1915.67 130977
9500 368472 368163 158863 580415 576744 241479 -106330 95426 128107 -7725.24 -4040.33 96388.1 -127908 3508.72 4621.14 -721.669 -1797.44 -237.911 4967.36 -1569.63 131173
9600 368911 368558 158877 580641 577803 241646 -106729 95386.6 128184 -6153.75 -3726.59 96416.7 -128160 2523.08 4416.05 -895.723 -1553.44 -182.757 5526.78 -1138.47 131341
9700 368421 368159 158456 580351 577461 241486 -106861 95278.4 128109 -5195.85 -3230.84 96412.5 -127844 2395.48 4583.29 -398.666 -880.045 -491.8 6066.84 -132.805 131641
9800 367883 367737 158467 580123 576593 241655 -106343 95250.4 127552 -5195.57 -3310.74 96420.9 -126834 2544.73 4893.19 -189.893 -793.349 -395.026 6549.67 295.22 132047
9900 367107 367582 158111 580260 574890 241821 -105833 95139.5 127561 -4888.14 -3159.02 96406.9 -127082 2536.43 4712.35 -285.851 -647.344 -342.992 6439.23 838.614 131666
10000 366781 367557 158147 580197 573886 241540 -105677 95053.2 127554 -4023.88 -3044.08 96481.7 -127160 1947.44 4544.12 -314.372 -557.687 -395.28 6068.53 574.355 131403
10100 367077 367539 158155 579923 573639 241420 -105759 95000.9 127815 -3478.32 -2811.33 96518.8 -127583 1641.66 4044.03 -453.649 -508.897 -463.169 5334.93 414.462 131238
10200 367503 367577 158207 579187 573549 241033 -105949 95082.6 127742 -3773.82 -2645.08 96475.7 -127542 1747.1 3838.14 -486.841 -682.002 -497.495 4990.79 108.699 131051
10300 367712 367598 158261 578491 573241 240790 -105989 95167.1 127746 -3889.86 -2791.85 96453.5 -127660 1647.08 3892.26 -475.413 -809.942 -575.812 4649.59 -398.153 130721
10400 367425 367396 158297 578259 573162 241048 -105736 95205 127533 -3373.98 -2711.89 96429.5 -127153 1015.03 3963.32 -270.126 -783.789 -525.462 4823.24 -722.952 131193
10500 367491 367399 158348 577981 573247 240944 -105685 95278.8 127503 -2689.71 -2580.37 96418.9 -127108 391.545 4005.32 -341.105 -768.132 -422.275 5106.14 -1336.58 131216
10600 367599 367181 158398 577218 573237 240674 -105589 95378.5 127385 -2596.05 -2390.89 96350.4 -127011 543.949 3744.76 -383.047 -641.035 -411.168 4891.61 -895.461 130932
10700 367457 367045 158447 576971 572817 240544 -105469 95430.2 127443 -2491.67 -2238.02 96308.7 -126928 804.374 3795.65 -336.671 -455.394 -322.806 5461.95 -88.0415 130874
10800 367672 367078 158516 576312 572803 240268 -105531 95479.1 127273 -2190.8 -2058.59 96327.5 -126735 686.647 3792.04 -312.943 -304.535 -256.16 5808.7 251.565 130738
10900 367292 367138 158570 576323 571779 240144 -105270 95413.1 127398 -2344.09 -2212.42 96463.1 -127139 668.277 3973.78 -400.041 -398.205 -250.848 5936.99 101.897 130460
11000 368048 367347 158627 575007 572788 239523 -105765 95505.2 127529 -2762.06 -2338.32 96374.9 -127584 778.093 4128.26 -604.391 -541.566 -176.797 6084.03 -291.988 130195
