# Time-averaged data for fix avvir
# TimeStep c_vir[1] c_vir[2] c_vir[3] c_vir[4] c_vir[5] c_vir[6]
164 20617.1 -10158.8 13205.9 2327.44 5862.15 7.18632
165 24290.3 -13054.4 13728.8 3658.62 1784.24 -3204.29
166 24514.7 -12930.5 14348.6 4252.66 562.784 -5068.65
167 21275.9 -10008.9 14721.6 5224.73 4961.19 -7598.88
168 17598.3 -6617.05 14809 6941.35 11845.8 -10768.4
169 15677.8 -4752.25 14804.1 8916.07 15770.2 -13083.1
170 15333.5 -4427.57 14415.3 10226.7 13543.4 -13379.8
171 15463.1 -4287.98 13857.8 10394.8 5220.83 -12413.7
172 15108.2 -1908.48 13969.6 10108.2 -7090.77 -12536.8
173 14075.7 2925.25 14969.4 9794.53 -19384.1 -13147.9
174 13230.9 7037.46 16089 7831.72 -25886.1 -8632.51
175 12867.2 8239.1 16516.4 4022.03 -23911.5 3635.27
176 12938.9 7959.39 17114.3 1947.9 -15737.6 16947.3
177 12572.7 8551.63 18006.4 4460 -5833.92 21489.3
178 11318.5 9747.24 18386.6 8725.57 2838.65 17313.7
179 10059.3 11393 18373.1 11309.4 9010.06 11416.1
180 10063.9 13350.3 18617.8 11656.4 12971.7 9958.87
181 10995 14272.4 18630.8 9632.12 14425.1 10670.7
182 11747.2 12425.5 17715 5376.4 12413.8 8345.12
183 12939.8 7937.37 16238.3 1077.07 8162.03 2722.15
184 15259.5 2369.24 14916.4 -921.626 4754.78 -3149.22
185 19304.6 -2977.19 14241.7 -550.594 4064.1 -7080.53
186 25425.9 -7892.33 14411.5 1317.78 6360.39 -8221.77
187 33420.5 -12350 15393.5 3487.23 9844.57 -7392.37
188 39659.6 -14307.5 16828.6 4088.69 10439.8 -6418.51
189 38852.2 -10868.6 17983.7 925.738 5525.24 -6153.61
190 30080.4 -881.44 18702.4 -6957.45 -4501.18 -5256.11
191 18809.6 11927.9 19701 -17090.5 -15695.5 -3797.55
192 10265.2 21833.2 20746.6 -23661.7 -20654.5 -4901.38
193 5157.95 26398.9 21334.9 -22492.1 -14966.1 -8396.44
194 4146.23 25706.3 21594.9 -14167.7 -1862.36 -10362.2
195 7889.7 20922.3 21699.2 -3879.21 10563.6 -7534.73
196 13574.9 14946.2 20976 3377.69 18435.6 -3491.43
197 16193.1 11541.3 19387.9 5189.25 20207.3 -4572.94
198 13541.4 12313 17773.3 2847.44 15604.8 -10546
199 7899.01 14988.9 16468.4 -702.739 7111.11 -15315.6
200 3816.82 16750.6 15711.2 -4140.13 -1438.68 -13860.1
201 3338.91 16593.6 15402.6 -7250.57 -7243.54 -6447.76
202 4467.09 16106 15506.4 -9317.82 -10086 2097.15
203 4863.13 17290.1 16037.6 -9449.65 -11474.3 8044.39
204 3886.27 20584.8 16909 -8032.12 -12357.7 11513.1
205 2491.8 24037.4 17709.8 -7051.36 -12314 14863.9
206 1774.07 25195.8 17872.2 -7636.7 -10427.4 18011.4
207 1948.07 24004.9 17461.7 -9083.32 -6492.12 17957.5
208 2864.94 22308.5 17333.9 -10844.1 -2765.15 14003.3
209 4100.5 20431.7 17552.5 -12580.6 -1434.16 9040.93
210 5790.7 18016 17850.7 -13468 -3149.72 5809.45
211 7871.69 15084.3 18554 -13624.8 -7020 6232.33
212 9762.28 13129.2 20012.5 -12998.7 -10493.8 10467.1
213 9957.56 13491.9 21424 -9337.88 -8685.48 14477.5
214 7866.6 15623.4 21549 -1707.17 -283.838 14560
215 5606.24 17639.4 20309.4 7829.86 10885.1 8039.16
216 5669.03 18096.6 18692.1 14683.2 18120.7 -2666.96
217 7804.24 16541.2 17318.7 15934.2 17343.2 -11299.1
218 10461.6 14021.7 16291.8 13525.7 9752.77 -15242
219 12225.4 12075.6 15732.3 10395.9 -2129.26 -16216.7
220 12225.1 12215.4 15882.1 8076.31 -14757.1 -17443.6
221 10919.3 13942.4 16413.6 6719.97 -23150.9 -19064.7
222 10591.4 14366.9 17196.2 5158.24 -23516.3 -17499
223 13190.2 11816.1 17957.6 2020.46 -17031.9 -10335.2
224 17664.3 8371.19 19032.9 -2731.43 -10770.8 -315.63
225 21688.8 6213.88 20458.8 -7645.52 -11691.2 7932.33
226 23741.2 5777.98 21783.2 -10207.7 -17842.5 13026.4
227 22569.9 7262.63 21911.8 -7484.08 -17920 16260.5
228 18582.9 9599.26 20468.9 -3.84606 -7070.75 17855.6
229 14876.3 10741.2 18527.8 6268.04 5497.61 17356.2
230 12506.3 11096.6 17506.7 5905.8 10023.1 16300
231 10456.5 12535.9 17752.1 924.111 8157.62 15707.9
232 8162.84 14675 18337.7 -1327.47 7446.17 13746.2
233 6790.93 15868.8 18504.6 2505.27 11580.8 9458.68
234 8272.13 15173 18415.5 9578.3 18181.2 3967.9
235 12487.4 12919.2 18418.4 15791.7 22524.5 -1814.18
236 17158.6 10639.9 18443.9 19213 20925 -8155.21
237 20436 8876.44 18415.8 18702.3 12493.8 -12904.1
238 22156.5 7289.71 18218.4 14066.6 -2265.88 -14621.2
239 24142.2 6418.73 18777.1 7191.52 -20226.1 -14548.1
240 25378.5 6780.25 19716.1 57.7244 -33203.9 -12488.9
241 22735.3 8887.97 19379.4 -6785.09 -35110 -7784.38
242 17466.7 12588.1 18322.6 -13071.4 -28439.7 -2056.1
243 14524.8 16078.3 18383.8 -18458.6 -21112.8 1942.29
244 16215.4 16826.5 19623.2 -21772.5 -14247.5 3635.41
245 20314.3 13766.6 20327.5 -20634.2 -3671.63 2750.88
246 23033.9 8954 19645.7 -14457.8 10462.5 -1320.46
247 21958.8 6033.89 18399.4 -5964.54 21985.5 -7119.55
248 18201.8 6329.95 17367.6 1726.26 27132.8 -12025.3
249 14571.6 8098.79 16852.4 7812.86 28701.1 -13703.2
250 12513.7 9799.55 16514 11797.3 29247.9 -10984
251 10218.7 11270.9 15287.3 13043.3 27151.4 -6197.22
252 7281.58 12277 13470 11072.1 21624.6 -2565.84
253 5851.82 11342.7 11751.2 6779.68 15928 -711.388
254 7211.24 8459.94 10902.3 2453.32 12632.4 883.566
255 10083.3 5635.97 11390.8 165.876 10900.6 4051.01
256 12609.1 4843.86 12961.1 603.854 9365.7 10444.2
257 13461 6860.54 15249 2702.32 7340.49 19469.9
258 11653.9 10839.9 17390.5 3953.19 3545.69 25501.5
259 7198.48 15424.3 18955.3 3012.59 -2952.88 21677.4
260 2452.59 19116.7 20473.5 1270.31 -10104.9 8703.07
261 -282.558 19871.8 21303.8 -702.245 -13838.3 -4136.01
262 -462.136 17702 21039.6 -3233.75 -11970.3 -9220.01
263 731.117 14138.3 19890 -5823.81 -6186.93 -6927.78
264 1944.56 10856.1 18515 -6729.96 498.246 -3037.18
265 3150.06 8397.88 17460 -5700.04 6962.75 -1038.54
266 4328.1 7345.26 17292.1 -4526.52 12695.7 -667.624
267 4927.79 8238.09 17942 -4538.82 16897.5 -690.789
268 4998.62 9420.03 18530.5 -4265.22 19037.5 -450.255
269 4854.24 8466.87 17760.1 -1549.62 19379.5 -396.856
270 5136.88 5080.84 15827.6 2465.28 16996 13.8538
271 5813.29 1210.69 14046.7 4351.25 10936.3 2103.57
272 6558.78 -806.374 13553.8 2775.54 2149.26 5711.65
273 6958.3 -46.283 14244.4 -643.836 -7497.65 8917.95
274 7078.2 2628.41 15617.5 -3133.08 -15807.7 9645.47
275 7460.69 4913.14 17028.1 -2685.16 -19464 6865.3
276 8672.52 5188.02 18010.4 654.167 -16508.8 1839.06
277 10469.9 3651.46 18233.3 4233.91 -9920.55 -2426.76
278 12293 858.315 17764.1 5094.55 -6136.76 -3290.05
279 14484.2 -2440.1 17006.4 3026.76 -7919.32 -289.045
280 16922.1 -5592.23 16326.3 513.196 -11368 4562.82
281 19086.2 -8069.96 15934 499.653 -10448.4 8066.95
282 20293.7 -9471.6 15482.5 3172.88 -5136.88 9531.24
283 19855.6 -8681.34 14788.7 6586.93 232.865 11104.9
284 18182.8 -5554.84 14249.2 9740.11 2592.32 14490.6
285 16397 -1118.02 14273.5 11532 2291.4 18830.3
286 15306.2 2697.13 14756.5 9524.79 50.0087 19666.9
287 14747.5 5385.83 14928 3423.35 -1887.69 12252.1
288 13824.8 7755.74 14557.7 -4135.02 -1638.41 -1348.35
289 12897.1 10408.4 14103.9 -10119.3 -713.014 -12026.5
290 12020.2 11882 13664.6 -12710.4 -2607.65 -14667.3
291 11130.8 10660 12716.9 -10578.7 -8010.72 -12376
292 9863.18 8270.21 11639.4 -5232.45 -13432.9 -11146.4
293 7905.45 7429.64 10997.4 -871.138 -15257.7 -13663.9
294 6083.34 8084.82 10765.9 84.9685 -12958.2 -17335.3
295 5948.75 7594.88 10401.8 -1205.02 -9922.94 -17520.8
296 8158.07 4428.34 9620.25 -2826.15 -8851.03 -13018.5
297 11705.6 731.192 9308.63 -4218.76 -8362.23 -6712.48
298 15207 -1239.09 10272.7 -4690.41 -5043.85 -572.126
299 17960.5 -1275.65 12177.8 -3065.5 1204.23 5696.97
300 18100.6 655.969 13373 603.624 7076.92 11574.7
301 14619.2 4697.39 13376.6 5314.82 9898.96 16147.2
302 9719.08 9394.73 12857.5 9055.08 9578.53 18614.8
303 6909.1 12659.3 13499.6 10711.3 7913.9 20984.2
304 7372.01 13475.1 15147.1 9006.34 5364.54 25515.7
305 11208 12389.6 16929.6 1239.69 274.419 30676.6
306 17841.4 9348.12 18033.5 -11558 -4887.64 32154.9
307 24505.9 4340.54 17802.4 -22851.6 -6674.5 25666
308 26241.7 -406.711 15888 -27020 -6685.09 13570.9
309 21470.4 -2132.67 13173.2 -24164.3 -7356.58 3831.43
310 13159.3 56.7526 11040.6 -18458.2 -8850.37 1014.05
311 6551.78 3676.6 10585.3 -13354.1 -8793.57 4573.61
