# Time-averaged data for fix myMSD
# TimeStep MSD_X MSD_Y MSD_Z MSD_Total PotE Temperture
14900 0.723686 1.01938 0.629466 2.37253 -36445.2 443.76
15000 0.74092 1.0359 0.644215 2.42103 -36449.9 447.468
15100 0.710662 1.05956 0.635272 2.40549 -36446.7 450.394
15200 0.68342 1.03993 0.606476 2.32983 -36445.2 450.852
15300 0.705074 0.960353 0.596599 2.26203 -36456.4 460.535
15400 0.664382 0.920623 0.610855 2.19586 -36434.5 442.474
15500 0.658313 0.944355 0.650136 2.2528 -36442.4 457.973
15600 0.677828 0.9653 0.653154 2.29628 -36448.7 461.17
15700 0.698081 1.00521 0.605045 2.30834 -36437.6 451.277
15800 0.733713 1.01485 0.615721 2.36428 -36438.8 456.579
15900 0.772252 1.02193 0.604754 2.39893 -36435.7 452.74
16000 0.774619 1.00473 0.618744 2.39809 -36446.8 464.562
16100 0.754584 1.02594 0.643364 2.42388 -36427.4 452.089
16200 0.738358 1.02599 0.656417 2.42077 -36447 471.497
16300 0.735933 1.04214 0.647234 2.42531 -36439.8 460.348
16400 0.731107 1.0498 0.633023 2.41393 -36441.4 464.028
16500 0.744836 1.04223 0.611094 2.39816 -36437.4 459.936
16600 0.742887 1.02801 0.625639 2.39653 -36426.7 457.803
16700 0.777289 1.0133 0.632459 2.42305 -36426.2 460.874
16800 0.801206 1.02789 0.646626 2.47572 -36420.8 459.927
16900 0.79822 1.03728 0.676566 2.51206 -36422 468.046
17000 0.774246 1.0521 0.675877 2.50222 -36426.8 469.614
17100 0.71241 1.00344 0.689443 2.4053 -36438.4 478.049
17200 0.730686 0.965438 0.656577 2.3527 -36431.6 468.152
17300 0.727683 0.930356 0.639126 2.29717 -36428 469.342
17400 0.719106 0.947902 0.616855 2.28386 -36413.7 462.972
17500 0.68792 0.940254 0.580872 2.20905 -36412.3 466.776
17600 0.666718 0.940464 0.587583 2.19476 -36406.8 468.809
17700 0.664413 0.954399 0.603325 2.22214 -36416.5 479.209
17800 0.668198 0.936991 0.605982 2.21117 -36409.6 472.411
17900 0.697061 1.00644 0.62341 2.32691 -36418.8 482.006
18000 0.723486 1.05781 0.615459 2.39675 -36415.5 477.686
18100 0.762434 1.03872 0.618782 2.41994 -36413.1 478.949
18200 0.812264 1.01495 0.632113 2.45933 -36397.9 468.187
18300 0.850591 1.03992 0.634567 2.52508 -36413 488.621
18400 0.815893 1.04085 0.593364 2.45011 -36419.5 488.421
18500 0.778593 1.02433 0.59162 2.39454 -36407.1 479.9
18600 0.742411 1.0353 0.603787 2.3815 -36414.4 488.797
18700 0.791692 1.05369 0.628553 2.47393 -36401.8 476.32
18800 0.790132 1.03839 0.649874 2.47839 -36405.1 488.042
18900 0.774164 1.02447 0.660575 2.45921 -36395.3 479.221
19000 0.788857 1.01787 0.645919 2.45264 -36387.2 481.445
19100 0.797018 0.942585 0.6294 2.369 -36390.4 490.186
19200 0.801668 0.887284 0.626096 2.31505 -36382.5 488.64
19300 0.761652 0.892398 0.6186 2.27265 -36383.8 491.563
19400 0.742652 0.975141 0.63277 2.35056 -36384.7 494.203
19500 0.736566 1.01468 0.675118 2.42636 -36383.4 494.609
19600 0.747684 1.09709 0.704718 2.54949 -36374.6 491.397
19700 0.730586 1.09695 0.704154 2.53169 -36389.4 504.982
19800 0.729235 1.06684 0.672451 2.46853 -36376.1 487.859
19900 0.746186 1.03361 0.679324 2.45912 -36377.7 495.748
20000 0.805513 1.04051 0.69011 2.53614 -36376.3 495.854
20100 0.869856 1.07829 0.718612 2.66676 -36378.5 496.642
20200 0.88189 1.09427 0.720676 2.69684 -36376 497.914
20300 0.842619 1.08568 0.693136 2.62144 -36363.1 496.384
20400 0.846624 1.04951 0.689499 2.58563 -36357.4 490.669
20500 0.826194 1.01435 0.689577 2.53012 -36374.7 514.292
20600 0.81397 1.02119 0.686692 2.52185 -36361.9 499.737
20700 0.849231 1.05808 0.620311 2.52762 -36370.5 513.322
20800 0.839207 1.05199 0.62935 2.52055 -36357.9 501.393
20900 0.798223 1.03558 0.601996 2.43579 -36370.8 510.231
21000 0.774735 1.03627 0.568577 2.37958 -36369.8 509.722
21100 0.788905 1.07964 0.569783 2.43833 -36363.3 503.942
21200 0.7508 1.09094 0.561514 2.40325 -36363.8 509.953
21300 0.786263 1.0585 0.585143 2.42991 -36372.4 516.696
21400 0.866801 1.0543 0.588311 2.50941 -36368.4 511.074
21500 0.958807 1.10583 0.611034 2.67567 -36360.3 505.612
21600 0.936713 1.12285 0.628784 2.68835 -36360.8 513.18
21700 0.911773 1.12337 0.61464 2.64978 -36362 517.933
21800 0.879968 1.08104 0.622016 2.58302 -36371.5 525.037
21900 0.85484 1.01952 0.607498 2.48186 -36352.3 511.806
22000 0.873191 1.02322 0.583293 2.4797 -36344.1 510.037
22100 0.846935 1.06105 0.568514 2.4765 -36337.6 510.785
22200 0.87152 1.03862 0.562046 2.47218 -36343.7 519.308
22300 0.873736 1.07527 0.536896 2.4859 -36342.6 520.011
22400 0.854485 1.0956 0.545524 2.49561 -36340 519.914
22500 0.837393 1.07916 0.550381 2.46693 -36339.9 521.424
22600 0.873831 1.14007 0.563596 2.5775 -36332.9 518.255
22700 0.847669 1.15208 0.542448 2.5422 -36350.7 533.352
22800 0.841578 1.16151 0.538356 2.54144 -36337.1 523.159
22900 0.843098 1.12453 0.545833 2.51347 -36338.1 529.771
23000 0.79429 1.13641 0.573309 2.50401 -36331.3 529.378
23100 0.867684 1.15052 0.540985 2.55919 -36332.8 531.836
23200 0.897842 1.11082 0.557615 2.56628 -36303.8 511.933
23300 0.898119 1.08465 0.592828 2.57559 -36320.5 538.169
23400 0.843692 1.04967 0.61103 2.50439 -36315 533.228
23500 0.841492 1.00327 0.607519 2.45229 -36311.5 529.417
23600 0.877138 1.06153 0.607657 2.54633 -36315.4 532.363
23700 0.864831 1.08214 0.617768 2.56474 -36336.9 550.977
23800 0.880637 1.08452 0.604988 2.57014 -36337 538.434
23900 0.902462 1.13835 0.60755 2.64837 -36326.5 531.103
24000 0.934883 1.10423 0.641343 2.68045 -36323.5 536.613
24100 0.925252 1.11782 0.664842 2.70791 -36322.3 537.123
24200 0.884538 1.13144 0.651346 2.66732 -36331.2 548.511
24300 0.920105 1.12119 0.664755 2.70605 -36333.8 542.415
24400 0.954264 1.12878 0.667513 2.75055 -36316.6 531.708
24500 0.963498 1.12799 0.66721 2.75869 -36329.6 548.267
24600 0.9622 1.13904 0.642132 2.74337 -36315.1 534.819
24700 1.01894 1.21335 0.619975 2.85227 -36312.6 539.076
24800 1.06825 1.2366 0.623001 2.92785 -36301.6 534.993
24900 1.10719 1.23728 0.623255 2.96773 -36302.5 544.11
25000 1.09312 1.23168 0.624112 2.9489 -36334.3 568.099
25100 1.08958 1.23418 0.654154 2.97791 -36321.6 549.015
25200 1.06905 1.2237 0.66375 2.9565 -36315.2 543.826
25300 1.07894 1.22099 0.680468 2.9804 -36313.1 545.889
25400 1.09736 1.23666 0.696628 3.03065 -36294.1 540.242
25500 1.0711 1.23998 0.696896 3.00798 -36306.2 557.09
25600 1.04119 1.24394 0.650059 2.93519 -36304.6 553.712
25700 1.01228 1.2543 0.646853 2.91343 -36318.8 567.03
25800 0.994958 1.22196 0.643704 2.86062 -36312.4 559.004
25900 1.0131 1.18528 0.601861 2.80024 -36309.7 560.11
26000 1.01967 1.18051 0.583078 2.78326 -36289.9 548.786
26100 0.988725 1.15306 0.578851 2.72063 -36288.8 555.263
26200 0.955403 1.18225 0.645669 2.78332 -36285.9 553.802
26300 0.931507 1.256 0.672938 2.86044 -36281.6 555.901
26400 0.939159 1.25217 0.650965 2.84229 -36288.8 564.805
26500 0.949207 1.20204 0.611114 2.76236 -36299.8 571.966
26600 1.00664 1.16356 0.614391 2.78459 -36297.4 564.123
26700 1.0707 1.16017 0.618436 2.84931 -36291.7 561.462
26800 1.11227 1.1814 0.63974 2.93341 -36291.1 564.844
26900 1.0953 1.20609 0.626618 2.92801 -36290.4 567.792
27000 1.0832 1.28552 0.613302 2.98202 -36292.1 569.501
27100 1.11461 1.27765 0.64762 3.03987 -36293.3 571.417
27200 1.1734 1.25537 0.644545 3.07332 -36302.9 576.144
27300 1.20342 1.33631 0.687196 3.22693 -36283.9 561.213
27400 1.24076 1.37706 0.703558 3.32138 -36290.6 575.516
27500 1.24223 1.30979 0.741625 3.29364 -36276.4 565.325
27600 1.23523 1.26875 0.782733 3.28672 -36284 576.945
27700 1.18333 1.27081 0.756273 3.21041 -36280 572.723
27800 1.14788 1.23451 0.704283 3.08667 -36303.3 593.906
27900 1.14305 1.27107 0.708599 3.12272 -36292.3 581.717
28000 1.12676 1.30435 0.707899 3.13901 -36290.7 581.018
28100 1.07399 1.2442 0.703595 3.02179 -36272.6 568.146
28200 1.03447 1.20856 0.665941 2.90897 -36259.1 565.689
28300 1.01717 1.19718 0.681675 2.89602 -36259.9 577.333
28400 1.0142 1.21388 0.693058 2.92114 -36249.4 574.171
28500 1.03414 1.32048 0.687496 3.04212 -36263 588.295
28600 1.07895 1.34305 0.670889 3.09288 -36254.9 580.439
28700 1.10483 1.35684 0.713282 3.17495 -36273.4 592.985
28800 1.15259 1.39931 0.74222 3.29412 -36252.7 577.949
28900 1.21186 1.37605 0.758147 3.34605 -36259.3 589.908
29000 1.27085 1.33762 0.791043 3.39951 -36240.2 575.252
29100 1.352 1.30968 0.827367 3.48905 -36225.7 576.702
29200 1.38222 1.29953 0.873634 3.55538 -36233.8 593.815
29300 1.36985 1.37438 0.961226 3.70546 -36237.9 594.095
